country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Gabon,56.1,52.0,3.48,33.1,16400,1.28,63.1,4.00,10100
Gambia,73.8,23.7,5.72,42.4,1690,4.64,58.1,5.70,500
Georgia,21.3,30.3,10.10,49.5,6200,4.94,74.4,1.76,2960
Germany,4.2,45.7,11.30,39.3,44100,1.11,80.3,1.36,43000
Ghana,70.2,37.3,5.53,51.7,3520,8.73,60.0,3.89,1330
Greece,4.5,27.2,9.27,32.7,27100,2.38,80.5,1.43,25700
Grenada,11.8,21.9,6.46,44.9,11100,3.05,72.6,2.24,7450
Guatemala,32.0,24.2,6.39,36.7,6930,5.01,70.8,3.98,3160
Guinea,114.0,25.7,5.53,41.5,1130,10.80,55.0,5.13,430
Guinea-Bissau,129.0,17.4,5.48,30.1,1220,2.63,53.5,5.04,540
Guyana,36.2,50.0,8.03,60.9,6830,4.56,65.7,2.60,3600
Haiti,73.1,12.4,6.06,36.6,1600,8.70,62.4,3.33,730
Honduras,24.5,51.5,8.32,68.4,4060,5.47,73.1,3.09,2180
Hungary,6.2,89.4,7.83,82.2,22300,3.38,74.2,1.34,12800
Iceland,2.4,53.4,9.08,49.6,38100,1.65,82.4,2.02,43400
India,52.7,21.3,4.05,26.3,5150,6.35,65.5,2.60,1490
Indonesia,31.0,24.3,2.73,24.0,9000,6.39,69.9,2.50,3400
Iran,18.4,22.9,5.65,17.4,17400,20.80,73.0,1.93,5700
Iraq,35.2,35.1,8.39,32.5,13100,4.94,68.6,4.92,4670
Ireland,4.0,103.00,9.15,82.0,48700,0.37,80.6,2.00,46200
Israel,4.4,33.3,7.70,32.2,31000,1.67,81.6,2.92,30900
Italy,3.8,28.6,9.13,28.2,35100,0.96,82.0,1.41,35100
Jamaica,15.4,31.0,4.82,53.7,9030,7.67,73.1,2.28,5120
Japan,2.8,14.6,9.51,14.4,35200,0.04,83.1,1.39,45200
Jordan,19.6,43.4,8.07,70.4,11300,4.05,73.4,3.52,4370
Kazakhstan,21.5,40.3,4.31,28.3,19700,7.55,67.4,2.34,10500
Kenya,58.1,23.3,4.46,33.7,2340,9.38,60.9,4.44,994
Kiribati,49.4,11.8,9.47,80.3,2430,0.44,61.7,3.67,1540
Kuwait,10.8,68.0,2.63,27.9,52700,4.91,74.2,2.39,48900
Kyrgyz Republic,27.7,41.7,6.52,81.3,2800,8.08,69.4,2.89,900
Lao,54.0,34.5,2.76,45.2,4630,7.61,67.5,3.06,1490
Latvia,9.4,58.6,6.12,61.0,18500,3.08,73.3,1.44,11900
Lebanon,9.0,24.9,7.16,42.3,15700,4.98,79.3,1.74,8760
Lesotho,99.7,41.4,11.50,97.6,2710,4.43,48.5,3.20,1220
Liberia,78.3,32.7,10.30,83.8,820,8.53,59.9,5.03,410
Libya,15.4,59.4,3.88,26.8,21400,6.07,74.8,2.47,12100
Lithuania,6.2,77.3,6.64,75.3,20700,2.76,73.3,1.44,12900
Luxembourg,2.8,174.00,7.22,139.00,66400,2.03,80.4,1.63,102000
Macedonia,8.6,43.2,6.88,64.3,11600,2.82,74.8,1.46,4580
Madagascar,62.1,23.7,3.70,37.4,1370,9.48,63.2,4.50,440
Malawi,90.5,29.1,8.35,48.7,770,9.52,54.2,5.54,230
Malaysia,8.2,82.0,4.04,67.0,22500,2.04,74.5,2.00,10400
Maldives,11.4,94.6,6.32,89.4,11700,5.29,76.8,2.32,6300
Mali,122.0,23.2,6.83,36.0,1870,2.38,54.6,6.86,660
Malta,6.7,98.0,8.66,92.3,27300,2.00,80.2,1.38,20400
Mauritania,90.1,45.9,3.81,60.9,3410,6.27,62.0,4.63,1000
Mauritius,14.8,54.1,4.78,59.6,16700,6.48,73.4,1.53,8510
Mexico,17.1,30.0,6.15,31.5,16500,3.78,76.7,2.29,9940
Micronesia,37.1,22.2,13.80,71.1,3430,3.42,68.8,3.53,3100
Moldova,18.4,43.8,11.70,78.0,4270,7.41,68.4,1.47,1820
Mongolia,29.6,46.6,5.16,68.1,7970,12.30,67.0,2.37,3970
Montenegro,7.4,40.6,7.27,64.7,13800,3.44,74.1,1.70,6620
Morocco,30.4,33.7,5.96,44.5,6910,0.90,71.7,2.59,2830
Mozambique,93.8,26.2,6.06,47.9,1010,6.13,49.8,5.45,470
Myanmar,47.7,17.0,1.84,24.8,5010,8.23,64.5,2.24,1160
Namibia,38.8,42.2,7.03,55.5,8900,5.65,62.5,3.17,5290
Nepal,42.4,9.3,5.77,30.5,2250,8.98,67.5,2.67,645
Netherlands,4.0,82.9,12.00,72.5,46600,0.74,81.0,1.76,48200
New Zealand,5.7,29.6,10.10,28.9,32100,1.13,80.7,2.05,32800
Nicaragua,25.3,42.7,8.48,55.4,4450,8.08,74.0,2.59,1750
Niger,123.0,17.3,5.92,31.3,900,0.90,57.3,7.58,390
Nigeria,117.0,35.0,5.70,20.0,5300,10.30,52.1,6.00,2640
Norway,3.0,39.6,9.30,27.6,62200,1.28,81.3,1.95,97000
Oman,11.6,51.7,2.68,31.2,42200,3.25,76.1,2.89,22500
Pakistan,85.5,12.3,2.52,17.4,4610,11.70,65.7,3.60,1050
Panama,18.5,68.4,8.01,63.4,17200,4.98,77.0,2.45,9350
Papua New Guinea,60.8,53.1,4.26,63.9,2620,5.66,62.0,3.84,2100
Paraguay,23.0,50.6,8.99,52.2,6700,4.40,72.0,2.93,3670
Peru,18.4,25.1,4.96,23.2,10900,2.67,74.0,2.50,6030
Philippines,28.2,30.9,4.14,34.0,7200,3.79,68.0,3.10,2790
Poland,5.6,42.6,6.67,43.4,21400,3.35,76.4,1.32,12700
Portugal,3.9,32.0,10.70,38.0,26000,1.09,79.4,1.32,22200
Qatar,8.3,67.6,1.81,26.6,121700,1.88,78.2,2.04,88300
Romania,12.3,37.3,5.45,43.9,16300,5.85,73.8,1.35,8200
Russia,12.4,29.2,6.29,21.5,22700,9.04,68.9,1.54,13100
Rwanda,65.7,11.4,10.80,26.9,1410,5.68,63.2,4.62,620
Samoa,19.5,29.9,6.65,57.1,5550,2.94,72.7,4.02,3490
Sao Tome and Principe,45.7,11.7,7.42,66.6,2990,13.90,66.0,4.67,1360
Saudi Arabia,17.5,55.4,4.34,28.7,49750,3.73,74.1,2.84,21100
Senegal,60.0,25.3,5.74,42.8,2300,1.19,63.0,4.85,1000
Serbia,7.1,35.4,10.40,54.5,12100,6.15,74.4,1.43,5470
Seychelles,13.1,79.8,3.65,88.7,24300,2.56,73.2,2.41,12200
Sierra Leone,156.0,19.2,13.30,62.7,1570,15.00,45.3,4.88,490
Singapore,2.8,187.00,4.27,152.00,64900,2.79,81.7,1.15,55200
Slovak Republic,7.0,83.8,8.97,84.1,24200,2.43,75.4,1.33,16600
Slovenia,3.0,70.8,9.16,68.8,28500,0.86,79.4,1.50,23400
Solomon Islands,30.1,47.0,8.75,91.0,2040,4.04,67.3,4.18,1810
South Africa,44.6,30.8,8.98,31.4,12300,5.00,56.1,2.40,7280
Spain,4.5,29.8,9.27,29.8,32300,1.12,81.4,1.48,30700
Sri Lanka,10.0,22.4,3.33,31.0,10300,6.71,74.1,2.34,2980
St. Lucia,14.8,46.3,8.18,63.9,11700,3.05,74.8,1.89,7290
St. Vincent and Grenadines,20.6,21.9,4.95,49.0,10100,2.09,72.5,2.01,6220
Sudan,75.6,16.0,8.40,16.4,4000,18.90,62.2,4.41,1630
Suriname,23.9,38.5,5.33,43.7,14500,8.82,70.6,2.36,8480
Swaziland,78.4,53.7,8.31,65.3,7000,6.07,48.7,3.45,3400
Sweden,3.0,48.0,9.64,42.2,44500,1.39,81.7,1.90,53000
Switzerland,4.4,63.5,11.50,51.0,55500,0.23,82.6,1.50,79100
Tajikistan,43.1,19.5,5.84,59.4,2400,9.86,67.0,3.55,800
Tanzania,54.0,23.2,5.40,38.2,2490,10.90,60.4,5.33,695
Thailand,13.0,66.3,4.00,58.3,14400,2.67,74.1,1.41,5370
Timor-Leste,56.5,23.7,4.93,44.9,6250,10.00,66.3,6.11,3730
Togo,89.5,39.4,8.26,59.1,1380,1.80,56.5,4.69,540
Tonga,17.3,17.8,5.34,60.6,4920,3.82,72.3,3.90,4290
Trinidad and Tobago,27.6,56.0,5.74,42.1,30400,5.15,69.9,1.80,17200
Tunisia,15.9,47.6,6.20,57.0,10500,4.56,74.6,2.04,4230
Turkey,18.9,23.3,6.10,28.1,18000,8.89,74.2,2.08,10500
Turkmenistan,51.5,69.7,2.09,50.2,12900,5.30,65.0,2.36,6700
Uganda,66.1,22.2,9.83,32.4,1640,12.70,57.7,6.06,550
Ukraine,11.6,47.2,7.07,54.3,8320,8.06,70.0,1.45,3680
United Arab Emirates,8.0,88.4,2.60,75.5,58100,0.88,76.5,1.82,40800
United Kingdom,5.1,28.5,9.38,30.3,37800,2.07,80.2,1.88,38900
United States,7.4,12.6,17.10,15.4,52300,1.46,78.9,1.97,49800
Uruguay,11.8,25.5,8.28,24.5,18900,8.10,76.9,2.04,14700
Uzbekistan,44.0,28.9,5.82,25.9,4910,12.10,67.6,2.30,1560
Vanuatu,23.8,46.0,4.22,54.9,2930,2.62,70.8,3.42,2970
Venezuela,15.0,25.4,4.80,17.6,17100,26.10,74.2,2.47,12500
Vietnam,23.5,72.0,6.00,80.2,5030,9.09,75.2,1.75,1740
Yemen,60.0,30.7,5.18,32.0,3770,11.20,62.7,4.35,1310
Zambia,83.1,38.0,5.01,36.0,3810,8.68,55.3,5.88,1500
Zimbabwe,89.8,30.7,0.00,49.0,1560,3.13,50.3,3.67,600
